date,open,high,low,close,volume
2006/8/14,11089.07,11202.73,11079.78,11097.87,205832000
2006/8/15,11098.03,11234.27,11098.03,11230.26,208753000
2006/8/16,11224.91,11340.8,11224.91,11327.12,219189000
2006/8/17,11327.36,11372.42,11298.38,11334.96,243005000
2006/8/18,11333.76,11381.47,11317.67,11381.47,282658000
2006/8/21,11380.67,11380.99,11321.99,11345.05,196220000
2006/8/22,11344.41,11383.71,11303.34,11339.84,213690000
2006/8/23,11337.12,11370.82,11264.04,11297.9,170406000
2006/8/24,11297.82,11334.72,11273.89,11304.46,170711000
2006/8/25,11301.22,11317.43,11260.28,11284.05,150199000
2006/8/28,11285.33,11387.79,11273.49,11352.01,180813000
2006/8/29,11352.65,11379.55,11299.58,11369.94,198619000
2006/8/30,11365.98,11407.08,11355.69,11382.91,180097000
2006/8/31,11383.47,11405.32,11369.78,11381.15,156955000
2006/9/1,11382.75,11476.48,11382.75,11464.15,168008000
2006/9/5,11461.83,11488.17,11438.06,11469.28,184964000
2006/9/6,11466.23,11466.23,11395.15,11406.2,190991000
2006/9/7,11405.16,11405.24,11323.84,11331.44,213675000
2006/9/8,11332.24,11402.84,11331.04,11392.11,161655000
2006/9/11,11389.87,11421.25,11342.17,11396.84,216002000
2006/9/12,11396.12,11512.98,11395.71,11498.09,237291000
2006/9/13,11487.69,11567.25,11476.16,11543.32,214190000
2006/9/14,11543.4,11549.08,11495.37,11527.39,203777000
2006/9/15,11528.75,11613.51,11528.75,11560.77,365450000
2006/9/18,11559.97,11588.38,11528.11,11555,192679000
2006/9/19,11554.6,11562.05,11480.56,11540.91,178877000
2006/9/20,11542.28,11628.88,11542.2,11613.19,226388000
2006/9/21,11611.67,11630.56,11501.77,11533.23,241367000
2006/9/22,11532.91,11533.07,11474.56,11508.1,198482000
2006/9/25,11509.3,11616.48,11486,11575.81,267995000
2006/9/26,11575.73,11670.27,11567.65,11669.39,283670000
2006/9/27,11670.19,11720.77,11659.62,11689.24,296895000
2006/9/28,11689.4,11728.46,11660.42,11718.45,236505000
2006/9/29,11718.05,11741.99,11677.79,11679.07,216036000
2006/10/2,11678.99,11726.94,11658.66,11670.35,198006000
2006/10/3,11670.11,11758.95,11653.06,11727.34,230565000
2006/10/4,11722.94,11851.25,11707.49,11850.61,281863000
2006/10/5,11844.38,11870.06,11821.23,11866.69,253551000
2006/10/6,11865.49,11865.57,11800.5,11850.21,242985000
2006/10/9,11849.56,11872.94,11813.22,11857.81,177941000
2006/10/10,11857.73,11877.9,11829.71,11867.17,227212000
2006/10/11,11865.49,11875.98,11794.17,11852.13,256036000
2006/10/12,11854.13,11959.63,11854.05,11947.7,291005000
2006/10/13,11947.22,11960.51,11908.8,11960.51,295096000
2006/10/16,11961.31,11997.25,11945.54,11980.6,217432000
2006/10/17,11977.4,11979.08,11887.19,11950.02,238129000
2006/10/18,11947.62,12049.51,11947.62,11992.68,276355000
2006/10/19,11988.92,12027.74,11966.91,12011.73,260151000
2006/10/20,12013.01,12048.87,11941.94,12002.37,313845000
2006/10/23,12001.33,12125.16,11971.79,12116.91,288781000
2006/10/24,12116.51,12133.8,12079.05,12127.88,257649000
2006/10/25,12127.24,12147.97,12081.77,12134.68,238474000
2006/10/26,12134.84,12167.02,12096.1,12163.66,237156000
2006/10/27,12164.78,12164.86,12073.53,12090.26,277342000
2006/10/30,12089.14,12117.23,12049.92,12086.5,206237000
2006/10/31,12086.18,12113.39,12025.34,12080.73,277410000
2006/11/1,12080.25,12123.96,12007.17,12031.02,245719000
2006/11/2,12023.98,12032.55,11979,12018.54,222139000
2006/11/3,12018.3,12061.52,11965.31,11986.04,197737000
2006/11/6,11985.16,12117.71,11984.76,12105.55,211245000
2006/11/7,12104.75,12196.32,12101.06,12156.77,222398000
2006/11/8,12147.38,12193.75,12102.9,12176.54,252654000
2006/11/9,12174.7,12187.03,12090.1,12103.3,275335000
2006/11/10,12102.74,12127.08,12074.01,12108.43,204439000
2006/11/13,12097.7,12164.7,12084.81,12131.88,194049000
2006/11/14,12132.44,12228.01,12084.97,12218.01,255302000
2006/11/15,12214.37,12291.73,12205.76,12251.71,258838000
2006/11/16,12250.05,12325.91,12250.05,12305.82,223346000
2006/11/17,12304.62,12342.56,12277.4,12342.56,285106000
2006/11/20,12340.71,12355.23,12302.52,12316.54,228961000
2006/11/21,12312.13,12339.85,12296.03,12321.59,216659000
2006/11/22,12321.91,12361,12302.76,12326.95,177742000
2006/11/24,12321.71,12324.11,12258.86,12280.17,77633000
2006/11/27,12279.13,12279.53,12110.81,12121.71,236743000
2006/11/28,12118.94,12149.19,12072.6,12136.45,222626000
2006/11/29,12134.4,12240.67,12134.4,12226.73,219272000
2006/11/30,12226.73,12275.12,12162.48,12221.93,294894000
2006/12/1,12220.97,12248.04,12089.98,12194.13,275414000
2006/12/4,12195.57,12309.97,12195.57,12283.85,270629000
2006/12/5,12283.69,12335.37,12276.08,12331.6,233166000
2006/12/6,12328.72,12335.45,12294.83,12309.25,220839000
2006/12/7,12310.13,12360.76,12264.47,12278.41,212230000
2006/12/8,12278.41,12332.88,12243.08,12307.49,240796000
2006/12/11,12306.21,12354.59,12297.63,12328.48,213854000
2006/12/12,12328.24,12333.92,12252.05,12315.58,248135000
2006/12/13,12312.71,12368.61,12301.56,12317.5,213519000
2006/12/14,12317.5,12431.26,12307.01,12416.76,253902000
2006/12/15,12417.96,12486.3,12417.88,12445.52,417752000
2006/12/18,12446.24,12488.46,12431.58,12441.27,237313000
2006/12/19,12439.51,12491.91,12397.61,12471.32,233453000
2006/12/20,12471.32,12498.47,12456.58,12463.87,193303000
2006/12/21,12461.62,12483.73,12396.01,12421.25,192088000
2006/12/22,12413.08,12420.21,12341.7,12343.22,138048000
2006/12/26,12341.94,12418.2,12337.05,12407.63,110208000
2006/12/27,12408.43,12519.22,12407.79,12510.57,143653000
2006/12/28,12510.57,12529.88,12478.13,12501.52,126744000
2006/12/29,12500.48,12526.03,12451.13,12463.15,161564000
2007/1/3,12459.54,12580.35,12404.82,12474.52,327203000
2007/1/4,12473.16,12510.41,12403.86,12480.69,259056000
2007/1/5,12480.05,12480.13,12365.41,12398.01,235221000
2007/1/8,12392.01,12445.92,12337.37,12423.49,223502000
2007/1/9,12424.77,12466.43,12369.17,12416.6,225156000
2007/1/10,12417,12451.61,12355.63,12442.16,226574000
2007/1/11,12442.96,12544.46,12442.96,12514.98,261722000
2007/1/12,12514.66,12561.04,12489.66,12556.08,256533000
2007/1/16,12555.84,12585.08,12538.93,12582.59,242721000
2007/1/17,12571.46,12614,12550.55,12577.15,272720000
2007/1/18,12575.06,12611.91,12547.34,12567.93,250687000
2007/1/19,12567.93,12586.84,12523.55,12565.53,287475000
2007/1/22,12566.33,12572.58,12450.89,12477.16,240589000
2007/1/23,12477.81,12554.23,12468.35,12533.8,236764000
2007/1/24,12534.37,12623.45,12531.08,12621.77,216922000
2007/1/25,12621.77,12622.65,12487.34,12502.56,245775000
2007/1/26,12503.28,12539.09,12431.34,12487.02,247021000
2007/1/29,12487.1,12542.7,12481.49,12490.78,234509000
2007/1/30,12492.23,12538.45,12459.46,12523.31,244038000
2007/1/31,12520.03,12657.02,12505.2,12621.69,258412000
2007/2/1,12617.2,12682.57,12616.08,12673.68,235128000
2007/2/2,12673.84,12683.93,12638.35,12653.49,203608000
2007/2/5,12653.41,12681.21,12629.86,12661.74,204145000
2007/2/6,12661.66,12680.57,12633.94,12666.31,201004000
2007/2/7,12656.86,12700.28,12630.5,12666.87,194016000
2007/2/8,12665.67,12665.83,12575.86,12637.63,193816000
2007/2/9,12638.03,12675.68,12545.1,12580.83,220326000
2007/2/12,12580.11,12607.51,12536.21,12552.55,174985000
2007/2/13,12549.19,12658.22,12549.19,12654.85,204938000
2007/2/14,12651.29,12759.4,12651.21,12741.86,210878000
2007/2/15,12741.7,12779.03,12728.72,12765.01,183285000
2007/2/16,12764.13,12769.17,12744.02,12767.57,243560000
2007/2/20,12766.85,12795.93,12704.68,12786.64,205756000
2007/2/21,12782.87,12782.87,12707.17,12738.41,213475000
2007/2/22,12735.77,12763.73,12650.61,12686.02,206863000
2007/2/23,12679.89,12682.13,12628.02,12647.48,215431000
2007/2/26,12647.88,12697.23,12608.47,12632.26,230082000
2007/2/27,12628.9,12629.38,12086.06,12216.24,393299000
2007/2/28,12214.92,12353.47,12186.04,12268.63,412818000
2007/3/1,12265.59,12289.22,12059.54,12234.34,372010000
2007/3/2,12233.78,12247.4,12107.37,12114.1,315182000
2007/3/5,12111.61,12188.84,12039.11,12050.41,278771000
2007/3/6,12051.17,12224.41,12050.61,12207.59,278810000
2007/3/7,12204.46,12256.94,12178.99,12192.45,263543000
2007/3/8,12193.33,12303.64,12193.33,12260.7,241067000
2007/3/9,12262.06,12330.88,12228.5,12276.32,211035000
2007/3/12,12275.68,12349.95,12246.52,12318.62,219581000
2007/3/13,12307.49,12307.57,12071.48,12075.96,312343000
2007/3/14,12074.52,12142.94,11939.61,12133.4,333451000
2007/3/15,12133.16,12188.12,12105.92,12159.68,232601000
2007/3/16,12160.16,12190.2,12082.13,12110.41,388660000
2007/3/19,12110.41,12234.67,12110.41,12226.17,208478000
2007/3/20,12226.81,12294.03,12213.11,12288.1,196618000
2007/3/21,12288.98,12480.45,12263.51,12447.52,245998000
2007/3/22,12446.72,12476.28,12408.51,12461.14,232691000
2007/3/23,12460.5,12511.05,12448.65,12481.01,206411000
2007/3/26,12480.37,12486.78,12367.17,12469.07,219957000
2007/3/27,12468.59,12468.67,12377.27,12397.29,209031000
2007/3/28,12396.49,12396.49,12257.42,12300.36,224831000
2007/3/29,12301.48,12381.91,12267.59,12348.75,208156000
2007/3/30,12348.91,12416.68,12242.6,12354.35,233626000
2007/4/2,12354.52,12394.98,12324.28,12382.3,209420000
2007/4/3,12385.96,12534.27,12385.64,12510.3,220475000
2007/4/4,12511.36,12541.51,12495.75,12530.05,210134000
2007/4/5,12523.22,12572.47,12500.39,12560.2,164931000
2007/4/9,12562.64,12593.6,12555.32,12569.14,191590000
2007/4/10,12568.49,12588.56,12549.47,12573.85,214688000
2007/4/11,12573.12,12580.03,12455.85,12484.62,245475000
2007/4/12,12483.64,12557.35,12428.22,12552.96,218301000
2007/4/13,12551.91,12615.38,12530.21,12612.13,224235000
2007/4/16,12611.64,12731.18,12611.31,12720.46,225024000
2007/4/17,12719.56,12790.02,12707.45,12773.04,256883000
2007/4/18,12771.08,12838.46,12728.99,12803.84,261947000
2007/4/19,12799.77,12830.08,12734.92,12808.63,262595000
2007/4/20,12811.15,12966.29,12810.17,12961.98,415649000
2007/4/23,12961.49,12983.92,12916.63,12919.4,223280000
2007/4/24,12919.64,12989.86,12901.68,12953.94,238385000
2007/4/25,12951.42,13107.45,12951.42,13089.89,250170000
2007/4/26,13088.84,13132.8,13068.12,13105.5,251623000
2007/4/27,13104.04,13148,13073.4,13120.94,270913000
2007/4/30,13120.21,13162.06,13061.53,13062.91,264089000
2007/5/1,13062.75,13137.76,13041.3,13136.14,248962000
2007/5/2,13133.94,13256.33,13130.53,13211.88,251342000
2007/5/3,13206.65,13246.82,13196.03,13241.38,247244000
2007/5/4,13243.08,13284.53,13228.78,13264.62,236323000
2007/5/7,13264.13,13317.69,13260.8,13312.97,206190000
2007/5/8,13309.4,13314.43,13237.56,13309.07,225598000
2007/5/9,13300.62,13369.29,13278.35,13362.87,237035000
2007/5/10,13359.05,13359.05,13210.9,13215.13,224638000
2007/5/11,13212.2,13332.88,13212.04,13326.22,210572000
2007/5/14,13325.81,13383.76,13297.04,13346.78,199625000
2007/5/15,13346.05,13481.6,13339.47,13383.84,265255000
2007/5/16,13374.13,13489.57,13363.93,13487.53,237788000
2007/5/17,13486.96,13516.71,13447.79,13476.72,195809000
2007/5/18,13476.4,13558.48,13476.4,13556.53,282936000
2007/5/21,13556.53,13586.03,13529.14,13542.88,215545000
2007/5/22,13544.99,13586.68,13528.98,13539.95,201293000
2007/5/23,13540.84,13609.76,13505.17,13525.65,208262000
2007/5/24,13522.6,13624.55,13423.9,13441.13,240812000
2007/5/25,13441.94,13516.14,13440.07,13507.28,183475000
2007/5/29,13507.28,13564.66,13465.35,13521.34,205621000
2007/5/30,13517.89,13636.09,13456.73,13633.08,224781000
2007/5/31,13633,13673.07,13614.72,13627.64,243514000
2007/6/1,13628.69,13692,13624.39,13668.11,212784000
2007/6/4,13667.21,13690.38,13618.78,13676.32,177831000
2007/6/5,13673.19,13673.51,13551,13595.46,223038000
2007/6/6,13590.66,13591.07,13437.31,13465.67,236826000
2007/6/7,13463.48,13480.22,13259.82,13266.73,298879000
2007/6/8,13267.14,13431.22,13251.53,13424.39,241998000
2007/6/11,13423.74,13478.11,13381.64,13424.96,180249000
2007/6/12,13424.39,13449.5,13294.61,13295.01,233424000
2007/6/13,13287.62,13485.12,13287.62,13482.35,253046000
2007/6/14,13482.43,13581.61,13479.35,13553.73,228682000
2007/6/15,13556.65,13688.66,13556.49,13639.48,425076000
2007/6/18,13639,13667.94,13608.76,13612.98,174383000
2007/6/19,13611.68,13652.17,13577.22,13635.42,233719000
2007/6/20,13636.56,13674.36,13483.25,13489.42,274669000
2007/6/21,13486.66,13564.21,13398.87,13545.84,241173000
2007/6/22,13545.03,13545.11,13359.69,13360.26,380868000
2007/6/25,13360.09,13488.77,13299.78,13352.05,251722000
2007/6/26,13352.37,13452.52,13308.72,13337.66,240948000
2007/6/27,13336.93,13433.01,13259.86,13427.73,246019000
2007/6/28,13427.48,13498.29,13389.28,13422.28,207127000
2007/6/29,13422.61,13524.54,13314,13408.62,262108000
2007/7/2,13409.6,13537.87,13409.52,13535.43,196412000
2007/7/3,13531.53,13591.69,13531.53,13577.3,111585000
2007/7/5,13576.24,13577.7,13526.57,13552.1,188837000
2007/7/6,13559.01,13633.63,13537.95,13611.68,176036000
2007/7/9,13618.02,13670.46,13613.72,13649.97,192836000
2007/7/10,13648.59,13649.24,13496.17,13501.7,274424000
2007/7/11,13500.4,13590.95,13474.79,13577.87,224413000
2007/7/12,13579.33,13869.94,13579.17,13861.73,300520000
2007/7/13,13859.86,13932.29,13845.88,13907.25,223817000
2007/7/16,13907.09,13989.11,13894.98,13950.98,209067000
2007/7/17,13951.96,14011.79,13942.85,13985.61,266019000
2007/7/18,13955.05,13965.94,13823.6,13918.22,324400000
2007/7/19,13918.79,14015.85,13918.79,14000.41,265392000
2007/7/20,14000.73,14009.27,13797.67,13851.08,377654000
2007/7/23,13851.73,13973.99,13851.73,13943.42,237448000
2007/7/24,13940.9,13940.99,13701.59,13716.95,296994000
2007/7/25,13718.25,13822.22,13674.84,13785.07,266862000
2007/7/26,13783.12,13783.45,13335.3,13473.57,426884000
2007/7/27,13472.68,13520.8,13265.47,13265.47,337124000
2007/7/30,13262.06,13397.73,13261.17,13358.31,295454000
2007/7/31,13360.66,13498.53,13199.79,13211.99,319890000
